time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.70232638888888,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70234953703704,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7024884259259,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70271990740738,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7027662037037,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70290509259257,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70309027777776,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70313657407405,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70333333333332,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7034259259259,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7035648148148,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7036574074074,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70366898148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70390046296296,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70395833333333,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70420138888886,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70471064814814,230,0756D2,In,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7049537037037,230,0756D2,Out,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70517361111112,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70594907407406,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70596064814814,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70599537037037,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70612268518516,230,0756D2,In,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70626157407406,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70635416666664,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70636574074072,230,0756D2,Out,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70650462962962,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70653935185183,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70665509259257,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70674768518518,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7070138888889,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70707175925926,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70717592592592,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70730324074074,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70741898148148,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70748842592593,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70765046296296,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
